"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"57","178.2191875259125","186.91798551077957","0","0","0.01880000000000004","0.013800000000000034","0.0238","1560","0.00027304998246881977","0","0.00027304998246881977","0.00027304998246881977","57_53:0.0028398903807453357;57_58:0.0027234835049848582","57_53:124;57_58:84","true"
"58","158.25597819122524","165.1116641213853","0","0","0.009500000000000064","0.0124","0.00660000000000005","1560","0.00029267677367258115","0","0.00029267677367258115","0.00029267677367258115","58_57:0.0027234835049848582;58_59:0.003115987718249308","58_57:84;58_59:84","true"
"59","173.83353988848762","163.70887912696602","0","0","0.02289999999999992","0.024399999999999977","0.0214","1560","0.0002834374392987025","0","0.0002834374392987025","0.0002834374392987025","59_60:0.022445074413704913;59_72:0.0024002877191575678;59_58:0.003115987718249308","59_60:84;59_72:84;59_58:84","true"
"60","119.50449572978272","140.4140507236174","0","0","0.011299999999999977","0.0142","0.008399999999999963","1560","0.0008816300146158353","0","0.0008816300146158353","0.0008816300146158353","60_61:0.010307545857299566;60_59:0.022445074413704913","60_61:84;60_59:84","true"
"61","232.88665889915427","63.92961092406963","0","0","0.008399999999999963","0.0108","0.006000000000000005","1560","0.0003760891477440703","0","0.0003760891477440703","0.0003760891477440703","61_60:0.010307545857299566;61_54:0.005245102645088678;61_62:0.0035595203449650115","61_60:84;61_54:168;61_62:84","true"
"62","119.10948299265891","97.01505894119944","0","0","0.012699999999999934","0.0172","0.008199999999999985","1560","0.0003503314674531943","0","0.0003503314674531943","0.0003503314674531943","62_61:0.0035595203449650115;62_63:0.004962005828150817","62_61:84;62_63:180","true"
"63","153.28648573462274","135.82533198953155","0","0","0.024599999999999955","0.034399999999999986","0.0148","1560","0.0006635657862685187","0","0.0006635657862685187","0.0006635657862685187","63_73:0.003524325205460477;63_64:0.006333183309956303;63_62:0.004962005828150817","63_73:104;63_64:84;63_62:180","true"
"64","174.07849308434348","106.94747551104253","0","0","0.08319999999999994","0.10880000000000001","0.0576","1560","0.00037411549120193113","0","0.00037411549120193113","0.00037411549120193113","64_65:0.006809130669471891;64_63:0.006333183309956303","64_65:84;64_63:84","true"
"65","207.1862613002438","130.69655081501065","0","0","0.010599999999999943","0.012399999999999967","0.0088","1560","0.000314730073602891","0","0.000314730073602891","0.000314730073602891","65_55:0.004520519950442697;65_64:0.006809130669471891;65_66:0.0071073184609938","65_55:136;65_64:84;65_66:84","true"
"66","133.0473094167897","174.35959303913637","0","0","0.00869999999999993","0.011","0.006399999999999961","1560","0.0002691101504268751","0","0.0002691101504268751","0.0002691101504268751","66_65:0.0071073184609938;66_67:0.005103149450495753","66_65:84;66_67:84","true"
