"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"57","311.4498259305461","108.76375201253973","4.6395882422740975","0","0.006000000000000005","0.011600000000000055","0.0004","1244.4444444444443","0.0009884050150563328","0","0.0009884050150563328","0.0009884050150563328","57_58:0.012014696673010833;57_56:0.02669773492917979","57_58:561.7777777777777;57_56:561.7777777777777","true"
"58","279.92111424855","37.3122958054173","4.609459828759635","0","0.010000000000000009","0.013599999999999945","0.0064","1244.4444444444443","0.00048412011080660786","0","0.00048412011080660786","0.00048412011080660786","58_59:0.022030807842538025;58_71:0.03177852065540854","58_59:561.7777777777777;58_71:561.7777777777777","true"
"59","245.00119658789717","74.83687522802407","4.769984072222006","0","0.0041999999999999815","0.008000000000000007","0.0004","1244.4444444444443","0.0010128411720264463","0","0.0010128411720264463","0.0010128411720264463","59_60:0.022672367106647523","59_60:561.7777777777777","true"
"60","278.0776444658239","443.5573420461293","4.51759046294214","0","0.005800000000000027","0.0074","0.0041999999999999815","1244.4444444444443","0.00023964357847717176","0","0.00023964357847717176","0.00023964357847717176","60_61:0.008492935662383516","60_61:561.7777777777777","true"
"61","292.8802360351698","167.08300038429772","4.689285681508519","0","0.010399999999999965","0.011399999999999966","0.0094","1244.4444444444443","0.0001886567099618552","0","0.0001886567099618552","0.0001886567099618552","61_62:0.019314389346162503","61_62:561.7777777777777","true"
"62","198.37914980078372","27.411554146903022","4.647022991774242","0","0.026000000000000023","0.0232","0.0288","1244.4444444444443","0.0008467882450884368","0","0.0008467882450884368","0.0008467882450884368","","","true"
"63","249.4898266837783","148.2156369591382","4.507465126367413","0","0.0032999999999999696","0.005199999999999982","0.0014","1244.4444444444443","0.0003876793906656045","0","0.0003876793906656045","0.0003876793906656045","63_62:0.012918964635016544;63_64:0.00666843267394443","63_62:561.7777777777777;63_64:561.7777777777777","true"
"64","211.66663972127998","48.05900499960023","4.463140900576362","0","0.005400000000000071","0.010199999999999987","0.0006","1244.4444444444443","0.00031229352456609927","0","0.00031229352456609927","0.00031229352456609927","64_65:0.021523200533591746","64_65:561.7777777777777","true"
"65","252.29273863589137","345.0463783808612","4.61524886071895","0","0.0030000000000000027","0.006000000000000005","0","1244.4444444444443","0.00026719123923594476","0","0.00026719123923594476","0.00026719123923594476","","","true"
"66","324.271700394968","57.75528303588959","4.650700671269639","0","0.01970000000000005","0.0242","0.015199999999999991","1244.4444444444443","0.001983957902993081","0","0.001983957902993081","0.001983957902993081","66_65:0.01825556889488597;66_67:0.02628062003835266","66_65:561.7777777777777;66_67:561.7777777777777","true"
"67","125.90200679134668","39.25181381336034","4.714533247004673","0","0.00990000000000002","0.0152","0.0046000000000000485","1244.4444444444443","0.0004033630060811556","0","0.0004033630060811556","0.0004033630060811556","67_68:0.019662151761104613","67_68:561.7777777777777","true"
"68","263.8629279182554","41.663175947478194","4.612755107366011","0","0.012599999999999945","0.017","0.008199999999999985","1244.4444444444443","0.00028760976348642824","0","0.00028760976348642824","0.00028760976348642824","68_69:0.012453015725599731;68_55:0.009056624898981125","68_69:561.7777777777777;68_55:561.7777777777777","true"
"69","329.637078502398","57.68638091538346","4.5514288221776384","0","0.0028000000000000247","0.0020000000000000018","0.0036","1244.4444444444443","0.00021732940004151493","0","0.00021732940004151493","0.00021732940004151493","69_70:0.010150909721528628","69_70:561.7777777777777","true"
